"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CATEGORY";"CREATED_BY";"DESCRIPTION";"DIGIKEY";"HEIGHT";"MANUFACTURE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"QUANITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"1";"2553-2011-1X03G00SB-ND";"CON-LSTB_MA03-1";"CON-LSTB_MA03-1";"J13";"PIN HEADER";"";"";"";"";"";"2553-2011-1X03G00SB-ND";"";"";"Oupiin";"";"";"";"";"";"";"2011-1X03G00SB";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"2700pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C13, C14, C49, C72, C92";"Capacitor - Generic";"";"";"";"";"";"2571-GMC04X5R272M50NTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"GMC04X5R272M50NT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"27pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C39, C40";"Capacitor - Generic";"";"";"";"";"";"490-17672-1-ND";"";"";"Murata Electronics";"";"";"";"";"";"";"GJM1555C1H270JB01D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R54";"Resistor Fixed - ANSI";"";"";"";"";"";"RMCF0402JT2K00CT-ND";"";"";"Stackpole Electronics Inc";"";"";"";"";"";"";"RMCF0402JT2K00";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.3uH 1.5A 70m";"74404032033";"INDPM3030X150N";"L7";"SMT Power Inductor";"";"";"";"";"SMT Power Inductor";"732-5494-1-ND";"";"";"Wurth Elektronik";"";"";"";"";"";"";"74404032033";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"309k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R1, R31";"Resistor Fixed - ANSI";"";"";"";"";"";"2571-RM04F3093CTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"RM04F3093CT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"30V 200MA";"EDGE-LIBRARY_BAT54C";"EDGE-LIBRARY_SOT23";"D1";"Schottky Diodes";"";"";"";"";"";"BAT54C-FDICT-ND";"";"";"Diodes Incorporated";"";"";"";"";"";"";"BAT54C-7-F";"";"";"";"";"";"";"";"";"J";"";"";"";"";
"2";"33pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C12, C93";"Capacitor - Generic";"";"";"";"";"";"2571-GMC04CG330J16NTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"GMC04CG330J16NT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"36k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R21, R22, R23, R27";"Resistor Fixed - ANSI";"";"";"";"";"";"311-36.0KLRCT-ND";"";"";"Yageo";"";"";"";"";"";"";"RC0402FR-0736KL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"37.4k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R30";"Resistor Fixed - ANSI";"";"";"";"";"";"2571-RM04F3742CTTR-ND";"";"";"CAL-CHIP ELECTRONICS, INC.";"";"";"";"";"";"";"RM04F3742CT";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"470";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R4, R5, R6, R7, R17, R18, R41, R48, R49, R50";"Resistor Fixed - ANSI";"";"";"";"";"";"311-470LRCT-ND";"";"";"Yageo";"";"";"";"";"";"";"RC0402FR-07470RL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"510k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R19, R20";"Resistor Fixed - ANSI";"";"";"";"";"";"RMCF0402JT510KCT-ND";"";"";"Stackpole Electronics Inc";"";"";"";"";"";"";"RMCF0402JT510K";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"56pF";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C11";"Capacitor - Generic";"";"";"";"";"";"587-6134-1-ND";"";"";"Taiyo Yuden";"";"";"";"";"";"";"EMK042CG560JC-W";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"67996-140HLF";"67996-140HLF";"HDRV40W67P254_2X20_5080X483X85";"J6";"AMPHENOL ICC (FCI) - 67996-140HLF - CONNECTOR, HEADER, 40POS, 2ROW, 2.54MM";"";"";"";"";"";"609-4925-ND";"";"";"Amphenol";"";"";"";"649-67996-140HLF";"";"";"67996-140HLF";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"69.8k";"EDGE-LIBRARY_TUTORIAL---FUSION-360_R-USCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40";"R12";"Resistor Fixed - ANSI";"";"";"";"";"";"RMCF0402FT69K8CT-ND";"";"";"Stackpole Electronics Inc";"";"";"";"";"";"";"RMCF0402FT69K8";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"DNP";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C83, C84, C85, C86";"Capacitor - Generic";"";"";"";"";"";"399-3521-1-ND";"";"";"Kemet";"";"";"";"";"";"";"C0402C104K4RACTU";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"DNP";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CCHIP-0402(1005-METRIC)";"EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60";"C15, C16, C50, C71, C91";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"EDGE-LIBRARY_74LVC1G07SE-7";"EDGE-LIBRARY_74LVC1G07SE-7";"EDGE-LIBRARY_SOT65P210X110-5N";"U4, U11";"Check prices";"";"";"";"";"";"74LVC1G07SE-7DICT-ND";"";"";"Diodes Inc";"";"";"";"";"";"";"74LVC1G07SE-7";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_ABM8-24.000MHZ-B2-T_ABM8-24.000MHZ-B2-T";"EDGE-LIBRARY_ABM8-24.000MHZ-B2-T_ABM8-24.000MHZ-B2-T";"EDGE-LIBRARY_ABM8-24.000MHZ-B2-T_OSCSC320X250X100N";"Y2";"Crystal 24MHz Â±20ppm (Tol) Â±30ppm (Stability) 18pF FUND 80Ohm 4-Pin Mini-CSMD T/R";"";"";"";"";"";"535-9138-1-ND";"";"";"Abracon";"";"";"";"";"";"";"ABM8-24.000MHZ-B2-T";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_AP2553AW6-7";"EDGE-LIBRARY_AP2553AW6-7";"EDGE-LIBRARY_SOT95P280X140-6N";"U9";"";"";"";"";"";"";"31-AP22653AW6-7CT-ND";"";"";"Diodes Incorporated";"";"";"";"";"";"";"AP22653AW6-7";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"EDGE-LIBRARY_AP64501_AP64501";"EDGE-LIBRARY_AP64501_AP64501";"EDGE-LIBRARY_AP64501_SOIC127P600X265-9T261X350N";"U3, U7, U8, U15, U20";"";"";"";"";"";"";"AP64501SP-13CT-ND";"";"";"Diodes Incorporated";"";"";"";"";"";"";"AP64501SP-13";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_BATTERY_HOLDER";"EDGE-LIBRARY_BATTERY_HOLDER";"EDGE-LIBRARY_79523141";"BT1";"BATTERY RETAINER COIN 20MM SMD";"";"";"";"PCBLayout.com";"";"732-12323-2-ND";"";"";"Wurth Electronics Inc.";"";"";"";"";"";"";"79523141";"";"";"";"";"";"";"";"";"";"";"";"";"";
